"Question","Answer","Mode"
"What library facilities are offered?","Central Library: Timing: 24/7 during exams, Regular: 8 AM-12 AM. Collection: 4 lakh+ books, 40,000+ e-journals, Thesis repository, Digital library. Facilities: Individual study cubicles, Group discussion rooms, AC reading halls, Scanning/printing, WiFi. Membership: 5 books for 15 days, E-resources: 24/7 online access. Journals: IEEE, Springer, Elsevier, JSTOR, ProQuest. Services: Reference service, Book reservation, Inter-library loan, Issue/return: Self-service kiosks. Fine: ₹5/day for late return. Lost book: Cost + ₹500 processing.","Campus Life"
"What cafeterias are available?","Food courts on campus: Rangla Punjab: North Indian, South Indian, Chinese, Capacity: 1000+, Price: ₹80-150/meal. University Terrace: Multi-cuisine, AC facility, Live counters. Food trucks: Mexican, Italian, Street food. Branded: Pizza Hut, Subway, Café Coffee Day, KFC, Dominos, McDonald's. Mess: All hostels have attached mess. Timings: 7 AM-11 PM various options. Payment: Cash, Card, UPI, Monthly coupons. Hygiene: Regular inspections, FSSAI approved. Special: Birthday cakes, Party orders available.","Campus Life"
"Is there night canteen facility?","Yes! Night cafeterias: Food Court: Open till 1 AM on weekends, Serves: Snacks, Tea, Coffee, Maggi, Sandwiches. Hostel canteen: Each hostel block, Timings: Till 11 PM, Items: Biscuits, Chips, Cold drinks, Instant noodles, Tea/Coffee. Vending machines: 24/7 in academic blocks and hostels, Snacks, Beverages, Coffee machines. Late-night hunger: Keep instant food in room (allowed), Nearby Phagwara: Has 24/7 restaurants (not accessible after gate closes). Study fuel: Library has vending machines for students studying late.","Campus Life"
"What stationery facilities exist?","Stationery on campus: University Bookstore (Central Library), Campus Bazaar shops, Xerox centers: In every academic block (₹0.50/page, Color ₹5/page), Binding: Spiral ₹20, Hard ₹50-100, Lamination available. Printing: USB printing, Email printing, Mobile printing via app. Items: Notebooks, Pens, Files, Chart papers, Art supplies, Project materials, Lab equipment, Engineering tools. Timings: 9 AM-10 PM. Discounts: Bulk orders for projects. Online order: Amazon/Flipkart delivery allowed. Quality: Branded products available.","Campus Life"
"Are pets allowed on campus?","Pet policy: Personal pets: NOT allowed in hostels or academic areas, Disciplinary action if found. Campus animals: Stray dogs/cats managed humanely, Animal welfare committee active, Feeding spots designated, Veterinary tie-up for injured animals. Pet therapy: Occasional sessions with trained therapy dogs, Mental health initiative. Nearby: Pet clinic in Phagwara (3 km). During holidays: Cannot leave pets in hostel. Service animals: Allowed with proper certification for differently-abled students. Fish aquarium: Some common rooms have maintained tanks.","Campus Life"
"Which companies visit LPU for placements?","900+ companies visit annually including: Tech Giants - Google, Microsoft, Amazon, Adobe, Intel, Cisco, Oracle. IT Services - TCS, Infosys, Wipro, Cognizant, HCL, Tech Mahindra, Capgemini. Consulting - Deloitte, EY, PwC, KPMG. Core - L&T, Tata Steel, Ashok Leyland. Banking - ICICI, HDFC, Axis. E-commerce - Flipkart, Paytm, Swiggy. Startups - Ola, Zomato, multiple funded startups. International - Japanese, European companies. Mass recruiters + core companies + dream offers. Placement rate: 90%+ for engineering.","Placements and Career"
"What is the highest and average package?","Placement Statistics 2023-24: Highest domestic package: ₹64 lakh per annum (Microsoft), Highest international: ₹1.05 crore (European company), Average CSE: ₹8.5 LPA, Average overall engineering: ₹6.5 LPA, Median: ₹5.5 LPA. 90%+ CSE placed, 85%+ overall engineering. 500+ students above ₹10 LPA. Multiple offers: Many students get 2-3 offers. Super dream (₹15L+): 200+ students. Dream (₹7-15L): 1500+ students. Package depends on: Branch, CGPA, Skills, Performance in interviews.","Placements and Career"
"When does placement process start?","Placement Timeline: Pre-placement training: From 5th semester (practice + aptitude + coding). Registration: Semester 6 (eligible with 6.0+ CGPA, no backlogs). Company visits: August onwards (final year). Peak season: September-February. Off-campus: Throughout year. Process stages: Resume shortlist → Aptitude test → Technical rounds (2-3) → HR round → Offer letter. Duration: 2-4 weeks per company. Multiple attempts allowed. Placement cell support throughout. Super dream policy: Can sit after getting dream offer in some companies. No cap on offers.","Placements and Career"
"What is placement eligibility criteria?","Eligibility requirements: CGPA: Minimum 6.0 (some companies 7.0+), No active backlogs, 75% attendance throughout, No disciplinary action, Bond acceptance: 1-2 years for some companies. Branch-specific: CSE/IT: Most opportunities, ECE/EE/ME: Core + IT both, Civil/other: Core focused. Additional: Communication skills, Aptitude clearing, Technical knowledge. Gap years: Acceptable if explained. Company-specific: Each has own criteria (some want 60%+ in 10th/12th). Multiple companies: Can sit for all eligible. Dream policy: After dream offer, limited companies access.","Placements and Career"
"Does LPU provide placement training?","Comprehensive training: Aptitude training: Quant, Reasoning, Verbal (weekly tests from semester 5). Coding: DSA, Competitive programming, Company-specific patterns. Communication: English speaking, Group discussions, Presentation skills. Technical: Interview questions, Subject revision, Project guidance. Mock interviews: By industry experts, HR rounds, Technical rounds, Feedback sessions. Resume building: Professional format, Highlighting skills, Project descriptions. Workshops: Company-specific prep, Industry trends, Soft skills. Duration: 3 semesters (5th to 7th). Faculty: Industry experts + alumni. Materials: Question banks, Previous papers, Online platforms access. Free: All training included in fees.","Placements and Career"
"Can I sit for off-campus placements?","Yes! Off-campus encouraged: University supports: Job postings shared, Reference provided, Interview leave granted. Platforms: LinkedIn, Naukri, Indeed, Company career pages, Referrals from alumni. Rules: Inform T&P cell, No clash with on-campus drives, Offer letter verification needed. Benefits: Can continue on-campus parallely, More opportunities, Higher packages often, Startups + MNCs. Process: Apply yourself → Clear rounds → Get offer → Submit to T&P → Verification → Acceptance. Alumni network: 200,000+ for referrals. Success stories: Many students get off-campus offers above on-campus. No restriction: Full freedom for off-campus.","Placements and Career"
"What is super dream/dream company policy?","Company classification: Super Dream: Package ₹15+ LPA (Google, Microsoft, Amazon etc.), Dream: ₹7-15 LPA (Adobe, Cisco, Oracle etc.), Regular: Below ₹7 LPA. Policy: After super dream offer: Can sit for other super dreams only (limited). After dream offer: Can sit for regular companies (some restrictions). Regular offers: No restrictions, multiple attempts. Reason: Equal opportunities for all students, Prevent hoarding of offers. Special cases: Role-based differentiation, If first offer <6.5 LPA, all companies open. Choice: Students can reject offers (strategic decisions). Target: Every student should get best possible opportunity.","Placements and Career"
"How to prepare for placements?","Preparation roadmap: Semester 5-6: Master DSA (Data Structures + Algorithms), Practice LeetCode/GeeksforGeeks (500+ problems), Learn 2 programming languages deeply, Build 2-3 strong projects, Improve communication skills. Semester 7: Company-wise preparation, Mock interviews weekly, Aptitude daily practice, Update resume professionally, Network with alumni. Resources: LPU Placement portal practice tests, Company previous papers, Online courses (Coursera/Udemy), Coding platforms competitions. Strategy: Start early (semester 5), Consistent practice daily, Focus on basics strong, Learn from rejections, Multiple company preparation. Mentorship: Seniors, Faculty, T&P cell guidance. Group study: Form peer groups for motivation.","Placements and Career"
"What internship opportunities exist?","Internship programs: Duration: 6-8 weeks (summer), 4-6 months (winter for final year). Companies: Same companies offer internships + placements, Google, Microsoft internships available, Startups for hands-on experience. Stipend: ₹10,000 - ₹1,00,000/month, Many unpaid (learning focused). Process: Campus drives in semester 4-5, Off-campus applications welcome, Project-based selection. Benefits: Pre-placement offers (PPO) possible, Industry exposure, Resume building, Networking  opportunities. Credit: 2-4 credits for summer internship. Support: Internship cell assistance, Resume forwarding, Verification of offers. Recommendation: Do minimum 2 internships before final placements. Many students convert internship to full-time offer.","Placements and Career"
"What roles are offered in placements?","Job profiles: Software Development Engineer (SDE): Backend, Frontend, Full-stack development. Data roles: Data Scientist, Data Analyst, ML Engineer. IT Services: Business Analyst, System Engineer, Support Engineer. Core engineering: Production, Design, Quality, R&D. Management: HR, Marketing, Finance roles for MBA. Consulting: Business consultant, Technology consultant. Sales: B2B sales, Technical sales. Testing: Manual, Automation testing. DevOps: Site Reliability Engineer. UI/UX: Design roles. Research: R&D for ME/ECE. Teaching: For Polytechnic colleges. Mostly: Based on branch and skills. Preference: Students can choose profile.","Placements and Career"
"Does LPU have alumni network for jobs?","Strong alumni network: 200,000+ alumni worldwide, Present in: Google, Microsoft, Amazon, Goldman Sachs, Top MNCs, Leading startups. LinkedIn group: 50,000+ active members. Support: Referrals for jobs, Interview preparation tips, Industry insights, Mentorship programs. Alumni portal: Job postings, Networking events, Connect for guidance. Alumni meets: Regional chapters worldwide, Annual reunion at campus, Industry-specific groups. Success stories: Many reach senior positions, Found successful startups, Support current students actively. Contact: Alumni affairs office, Mentorship matching platform. Value: Opens doors through references, Insider information about companies.","Placements and Career"
"What if I don't get placed on campus?","Support continues: Extended placement drive: Till June after convocation, Off-campus assistance: Job sharing continues, Resume forwarding to companies. Training extension: Additional mock interviews, Skill enhancement workshops. Higher studies: Guidance for MS/MBA, GATE coaching center on campus. Entrepreneurship: Startup incubation support, Seed funding opportunities. Part-time: Industry projects, Freelancing guidance. Statistics: 95%+ eventually placed within 6 months. Special cell: For late placements, Personal counseling, Career counseling. No pressure: Focus on right fit not any fit. Alternative: Internships leading to full-time. Reality: On-campus not everything, Many successful careers off-campus.","Placements and Career"
"Can I choose location preference?","Location choices available: Metro cities: Bangalore, Pune, Hyderabad, Delhi NCR, Mumbai, Chennai. Tier-2 cities: Ahmedabad, Chandigarh, Jaipur, Indore. Work from home: Becoming common post-COVID. International: Few companies offer abroad opportunities. Process: Preference marked during registration, Company discloses locations, Final decision: Company's, Student can reject if not preferred. Reality: Limited bargaining for freshers, Location assignment post-training often, Relocation support provided by companies. Strategy: Keep flexible initially, Gain experience 2-3 years then switch. Bangalore: Maximum opportunities, Startups: Usually metros, MNCs: Multiple locations available.","Placements and Career"
"What is the bond period for placements?","Bond policies: Company bonds: 1-3 years common, Service agreement signed, Breaking: Pay penalty (usually 50,000-2,00,000), Notice period: 30-90 days. University bond: NO bond from LPU side, No payment to university for placement, Full freedom to switch jobs. Service bonds: TCS:  2 years, Cognizant: 2 years, Infosys: 1.5 years, Some core: 3 years. Considerations: Read offer letter carefully, Understand penalty clauses, Bonds protect company training investment. Reality: Most students complete bond period, Early switch: Possible but expensive, Foreign opportunities: Bond completion often required. Advice: Accept bonds if good company, First job experience is valuable.","Placements and Career"
"Are girls given equal placement opportunities?","100% equal opportunities: No gender bias: Same companies, same process, same packages, Same eligibility criteria. Success: Many top offers to girls, CDR: 1:4 (4 girls for competition benefits), Leadership roles: Encouraged equally. Special: Women in tech programs, Female mentorship, Safety  in workplace training. Statistics: Girl placement rate = Boy rate, Package: Performance based only. Companies: Prefer diverse teams, Active recruitment of women, Work-life policies better now. Support: Separate counseling if needed, Anti-discrimination policy strict. Reality: Technical competence matters only, Some companies prefer female candidates (diversity hiring), STEM fields opening globally.","Placements and Career"
"What facilities exist during placement season?","Support infrastructure: Dedicated placement blocks: AC rooms for interviews, Waiting areas with refreshments, WiFi connectivity. Dress code: Formal wear mandatory, In-house laundry: Express service during placements. Transport: Special buses during drives, Early morning/late night as needed. Food: Extended cafeteria timings, Special meals during interviews. Support staff: Coordinators for each company, Student volunteers for guidance. Technology: Online tests in computer labs, Video interview rooms. Medical: First aid always available. Stress management: Counselors available, Peer motivation groups. Backup: If multiple offers same day, priority management, Missed due to exam: Rescheduled. Updates: SMS/Email/WhatsApp for every step. Care: Every student treated as priority.","Placements and Career"
"Can I do higher studies and placements both?","Yes, parallel allowed: No restriction: Sit for placements, Prepare for GATE/GRE/CAT simultaneously. Company joining: Deferred joining possible (discuss with HR), Some take gap year for MS, Join after completing degree. Strategy: Accept placement as backup, Attempt higher studies entrance, Choose based on results. Statistics: 30% place holders go for higher studies, Companies: Usually accept deferrals, Gap on joining: Acceptable with valid reason. Recommendation: Don't skip placements entirely, Financial security important, Can do MS after 2-3 years work ex (better ROI). LPU support: GATE coaching center, GRE preparation classes, University recommendations for MS. Decision: Personal based on career goals.","Placements and Career"
"What is lateral hiring support?","Lateral/exp hire help: For students with experience: Part-time work during studies, Previous work experience, Gap year work. Advantage: Experience counts positively, Higher package potential, Senior roles possible. Process: Different from campus placements, Resume based selection, Direct interviews. Support: Separate registration, Different companies approach, Work-ex verification. Reality: 5-10% students have prior experience, Treated equally in opportunities, Experience valued in negotiations. Lateral entry students: Can sit for regular placements too, Age not a barrier, Maturity advantage in interviews. Opportunities: Startups prefer experienced candidates, Higher responsibilities, Better growth trajectory.","Placements and Career"
"What pre-placement offers (PPO) process exists?","PPO system: From internships: Performance based, Offered during/after internship, Usually 10-20% interns get PPO. Advantages: Placement secured early, No placement stress, Can skip that company interview. Process: Internship performance review, HR interview, Offer rollout, Acceptance deadline. Package: Same as campus placement, Sometimes negotiable. Timing: Usually after internship completion, Join after degree. Decision: Can reject PPO and sit for placements, No penalty for rejection, Strategic planning needed. Statistics: 200-300 students get PPO annually, Success rate: High if dedicated internship work. Strategy: Treat internship seriously, Build good relationships, Deliver quality work, PPO conversion high probability.","Placements and Career"
"What skill development programs are offered?","Industry skill training: Technical: Full-stack development, Cloud computing (AWS/Azure), AI/ML courses, Cybersecurity, Data Science with Python. Certifications: Google, Microsoft, Oracle certifications, Industry recognized courses. Soft skills: Leadership training, Communication workshops, Personality development, Interview etiquette. Industry collaborations: IBM training programs, Cisco networking academy, SAP modules, Google cloud training. Cost: Most FREE for students, Some advanced: Nominal charges. Duration: Weekend batches, Semester programs, Summer intensive courses. Placement value: Certified students preferred, Higher package potential, More interview calls. Requirements: Minimum attendance, Assignment completion, Certification exam clearing. Career boost: Enhances resume significantly, Practical industry skills, Competitive advantage in placements.","Placements and Career"
"What is the dress code policy?","Formal dress mandatory Mon-Fri: Boys: Full pants + formal shirt + shoes (NO jeans/t-shirts). Girls: Formal suit/kurti + formal pants (NO leggings/shorts). Saturday: Smart casuals. ID card mandatory. Violations: Attendance marked absent, fine Rs.500. Hostel: No dress code inside.","Rules Safety and Grievance"
"What is LPU anti-ragging policy?","ZERO tolerance. Punishment: Immediate suspension, police complaint, expulsion. 24/7 helpline: 1800-180-5522. Email: antiragging@lpu.co.in. Anti-ragging squad regular checks. Affidavit from students and parents mandatory. Complainant identity protected.","Rules Safety and Grievance"
"What is the attendance policy?","Minimum 75% mandatory in each subject. Below 75%: Warning. 50-65%: Detained. Below 50%: Repeat semester. Medical leave with certificate counted as absent. Biometric attendance. Daily SMS to parents if absent. No proxy allowed.","Rules Safety and Grievance"
"How to file a grievance?","Online: UMS → Grievance portal. Offline: Written complaint, Drop box. Categories: Academic, Administrative, Harassment. Timeline: Acknowledgment 24hrs, Resolution 7 days. Escalation: HOD → Dean → Proctor → VC. Anonymous option available.","Rules Safety and Grievance"
"What happens with prohibited items?","Alcohol/Drugs: Immediate expulsion + police case. Smoking: Fine Rs.5000. Detection: Random hostel checks, CCTV, security scanning. Room search without consent if suspicious. Strict disciplinary action.","Rules Safety and Grievance"
"What is mobile phone policy?","Allowed with restrictions. Not in classrooms during lectures. Banned in exam halls (UFM case if found). Hostels: Free usage. Library: Silent mode. Photography needs permission. Cyberbullying serious offence.","Rules Safety and Grievance"
"What safety measures exist?","24/7 security guards. Biometric entry/exit. 2000+ CCTV cameras. Emergency helpline: 181. Campus police station. 24/7 hospital. Women safety: Separate security, panic buttons, self-defense training. Fire safety: Detectors, drills, trained staff.","Rules Safety and Grievance"
"What is sexual harassment policy?","ICC (Internal Complaints Committee) active. Email: icc@lpu.co.in. Confidential proceedings. Inquiry within 90 days. Punishment: Suspension, expulsion, police case. POSH training for all. Well-lit campus, CCTV monitoring.","Rules Safety and Grievance"
"Can I leave campus anytime?","Day scholars: Free with ID card. Hostellers: Outpass from warden. Same day till 8PM boys, 7PM girls. Overnight needs parent permission. Biometric tracking. Late entry needs explanation. Local guardian required for hostellers.","Rules Safety and Grievance"
"Mess food complaint procedure?","Daily feedback forms. Online: UMS → Mess Complaint. Mess committee meetings. Same day acknowledgment. Quality checks. FSSAI inspections. Can subscribe/unsubscribe mess. Multiple cafeterias alternative.","Rules Safety and Grievance"
"Policy on strikes and protests?","Peaceful dissent allowed with permission. Designated areas. No disruption of academics. No violence/property damage. Unauthorized protest: Disciplinary action. Student council for representation. Dialogue encouraged before protest.","Rules Safety and Grievance"
"Political activities policy?","Student elections allowed annually. External party politics banned. Academic discussions permitted. No disruption, division, unauthorized rallies. Violations: Immediate action. Focus on education maintained.","Rules Safety and Grievance"
"What if theft in hostel?","Report to warden immediately. Register with security. FIR if valuable. CCTV checked. Use lockers for valuables. University not liable. Personal insurance recommended. Keep valuables minimal.","Rules Safety and Grievance"
"Examination malpractice policy?","Copying, mobile, chits, talking: Paper cancelled, one-year ban. Repeat: Possible expulsion. Evidence collected, disciplinary hearing. CCTV in halls. Not worth risking career. Extra time for disabled students.","Rules Safety and Grievance"
"Substance abuse policy?","Absolute ban on alcohol, drugs, smoking, tobacco. Random checks. Drugs: FIR + expulsion. Alcohol: Suspension. De-addiction support available. Counseling services. Parents notified. Criminal case for drugs.","Rules Safety and Grievance"
"Cyber safety policy?","Prohibited: Cyberbullying, obscene content, fake profiles, morphed images. Report: cyber@lpu.co.in. Action: Warning to expulsion. Victim support provided. Cyber safety workshops. Think before posting online.","Rules Safety and Grievance"
"Accommodation change policy?","Allowed first 2 weeks only. Genuine reasons: Medical, compatibility issues. Written application to warden. Availability checked. Mid-semester changes not allowed. Emergency immediate shift possible.","Rules Safety and Grievance"
"Damage to property policy?","Accidental: Report, repair cost charged. Intentional: Cost + penalty + discipline. Security deposit deducted. Full replacement if serious. Lost library book: Cost + Rs.500. Fair assessment for accidents.","Rules Safety and Grievance"
"Discipline and conduct policy?","Expected: Respect, punctuality, honesty. Prohibited: Violence, harassment, ragging. Minor violations: Warning. Serious: Suspension, expulsion. Parents informed. Record maintained. Impacts character certificate.","Rules Safety and Grievance"
"Disability support services?","Equal opportunity cell. Ground floor hostel. Wheelchair accessibility. Scribes, extra time in exams. Assistive technology. Ramps, lifts throughout. Special transport. Scholarship available. Inclusive culture, anti-discrimination strict.","Rules Safety and Grievance"
